Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
ashanti,offinso north,a.m.e zion clinic,clinic,afrancho,chag,7.40801,-1.96317
ashanti,bekwai municipal,abenkyiman clinic,clinic,anwiankwanta,private,6.46312,-1.58592
ashanti,adansi north,aboabo health centre,health centre,aboabo no 2,government,6.22393,-1.34982
ashanti,afigya-kwabre,aboabogya health centre,health centre,aboabogya,government,6.84177,-1.61098
ashanti,kwabre,aboaso health centre,health centre,aboaso,government,6.84177,-1.61098
ashanti,offinso north,aboffour health centre,health centre,aboffour,government,7.12986,-1.73294
ashanti,atwima-nwabiagya,abuakwa maternity home,maternity home,abuakwa,private,7.0,-2.0
ashanti,atwima-kwanwoma,aburaso methodist clinic,clinic,aburaso,chag,6.66133,-1.67662
ashanti,ejisu-juaben municipal,achiase health centre,health centre,achiase,government,6.45543,-1.31004
ashanti,mampong municipal,adidwan health centre,health centre,adidwan,government,7.25163,-1.40278
ashanti,amansie west,adimposo chps,chps,adimposo,government,6.33659,-1.92588
ashanti,asante-akim north municipal,adom hospital,hospital,akratiebesa,private,6.61879,-1.19202
ashanti,ahafo-ano south,adom maternity home,maternity home,adinyana,private,6.88364,-1.87334
ashanti,afigya-kwabre,adwumakase kese health centre,health centre,adwumakase kese,government,6.80813,-1.53933
ashanti,sekyere south,afamaso maternity home,maternity home,afamaso,private,6.94912,-1.50873
ashanti,sekyere central,aframso health centre,health centre,aframso no.3,government,7.14472,-1.12162
ashanti,afigya-kwabre,afrancho health centre,health centre,afrancho,government,6.81527,-1.59589
ashanti,asante-akim north municipal,agogo presby hospital,hospital,agogo,chag,6.79618,-1.08529
ashanti,sekyere south,agona health centre,health centre,agona,government,6.93605,-1.49759
ashanti,ejisu-juaben municipal,agyenkwa clinic,clinic,hwireso,private,6.67522,-1.38159
ashanti,obuasi municipal,agyenkwa clinic,clinic,new  estate-obuasi,private,6.20898,-1.67103
ashanti,atwima-kwanwoma,ahenema kokoben health centre,health centre,ahenema kokoben,government,6.62597,-1.64978
ashanti,afigya-kwabre,ahenkro health centre,health centre,ahenkro,government,6.87155,-1.64009
ashanti,sekyere east,ahmadiya muslim hospital,hospital,effiduase,private,6.84534,-1.38366
ashanti,bekwai municipal,ahmadiyaa mission hospital,hospital,kokofu,private,6.50986,-1.53649
ashanti,bekwai municipal,ahwene memorial hospital,hospital,bekwai,private,6.45491,-1.57071
ashanti,adansi south,aim high clinic,clinic,subin camp,private,5.96717,-1.44993
ashanti,sekyere east,akokuaso health centre,health centre,akokuaso,government,6.85355,-1.33583
ashanti,bekwai municipal,akomaa memorial hospital,hospital,kortwia,chag,6.43966,-1.53837
ashanti,offinso north,akomadan health centre,health centre,akomadan zongo,government,7.40581,-1.96072
ashanti,adansi north,akrofrom clinic,clinic,new akrofrom,private,6.15348,-1.47621
ashanti,amansie central,akrofrom community clinic,clinic,akrofrom,government,6.39651,-1.60783
